Node 1,Node 2,L2 Distance,Shortest Path
0,1,0.40205523395051074,1
2,5,0.2790677495465931,1
3,4,0.11921511899503348,1
3,5,0.14320061031294526,1
4,5,0.25424821846573475,1
6,7,0.3459981010520782,1
6,8,0.24808069255316942,1
6,9,0.3238737764147215,1
6,11,0.17746921601802412,1
2,4,0.253354971607032,1
6,13,0.29652274587886523,1
7,9,0.06315529827760226,1
7,10,0.290912795449083,1
7,11,0.24986743073918224,1
8,9,0.26371603981411695,1
8,11,0.16519911232981854,1
9,10,0.243330786086062,1
9,11,0.2057169029453849,1
10,11,0.10962590812850752,1
7,8,0.3108812672913569,1
2,3,0.2138478629329739,1
12,13,0.2586914427028657,1
1,4,0.3738311997773861,1
1,2,0.4064552700027397,1
0,5,0.2442504343680886,1
0,12,0.42526919355979687,1
0,2,0.20197980079701042,1
0,3,0.14267375888018075,1
0,4,0.1123295805386987,1
3,12,0.31882668951955706,2
8,10,0.07646264861983279,2
7,13,0.29570730062717426,2
8,13,0.39426139588000514,2
1,5,0.18491605468968883,2
4,12,0.3432147115596882,2
0,13,0.4455842661356996,2
11,13,0.2430147983936165,2
6,12,0.24087611248351737,2
9,13,0.27665471035713984,2
6,10,0.2281833493029062,2
5,12,0.3926754900703633,2
1,3,0.2718465563622243,2
1,12,0.3644290918436672,2
2,12,0.3958744197861236,2
7,12,0.3373349794483223,3
5,13,0.5285667137367713,3
4,13,0.3829138596766771,3
3,13,0.4126625055125435,3
8,12,0.20100563795018292,3
1,13,0.5531290010878928,3
11,12,0.12545031943363077,3
10,13,0.3500322635236501,3
9,12,0.2821148761089725,3
2,13,0.39021147669115264,3
0,6,0.5397882217477074,3
5,6,0.48753668896569424,4
4,6,0.49337754482748003,4
0,11,0.38825358579799363,4
0,9,0.38931354831302867,4
2,6,0.4221110131724261,4
10,12,0.16614458832294232,4
0,8,0.46933155229492085,4
0,7,0.40956834357113103,4
3,6,0.44512596516232583,4
1,6,0.4373362257401188,4
0,10,0.4047272038324085,5
1,11,0.32599061672692353,5
3,9,0.3271804692936314,5
1,9,0.38636394291323417,5
1,8,0.2380315068434429,5
1,7,0.4244377765583549,5
2,7,0.38955302467623065,5
2,8,0.4326949431453528,5
2,9,0.38006758920468464,5
2,11,0.3243858471404078,5
3,7,0.3625342798073032,5
3,8,0.3398613310174608,5
5,11,0.35123221843959584,5
5,7,0.43618409395414687,5
3,11,0.28636482972599836,5
4,7,0.35745505315493864,5
4,8,0.40448699607028166,5
4,9,0.3245237256327507,5
4,11,0.3262827152286802,5
5,8,0.3489507706444564,5
5,9,0.4041244808012265,5
2,10,0.3593699779336053,6
4,10,0.3451465681909643,6
1,10,0.22964452581544376,6
3,10,0.2778427808761639,6
5,10,0.3009368665501121,6
