Node 1,Node 2,L2 Distance,Shortest Path
0,1,0.23795259069182628,1
2,5,0.10914101085797219,1
3,4,0.1328304053193771,1
3,5,0.19469787827133608,1
4,5,0.26249536088622594,1
6,7,0.13133097660700618,1
6,8,0.11284004894924672,1
6,9,0.08808291467622993,1
6,11,0.07704427449239817,1
2,4,0.22890646062225944,1
6,13,0.22222781537921757,1
7,9,0.14220340286628166,1
7,10,0.17428180077853794,1
7,11,0.11804590289065522,1
8,9,0.07953320812491092,1
8,11,0.0928803907510751,1
9,10,0.08102783034994827,1
9,11,0.0806752589230428,1
10,11,0.1283097025740454,1
7,8,0.1493171200021029,1
2,3,0.1667482768673188,1
12,13,0.18094619612848342,1
1,4,0.15699971532482124,1
1,2,0.1098758613939882,1
0,5,0.34976074910383087,1
0,12,0.2907514864883186,1
0,2,0.31521967217383645,1
0,3,0.20329476451583525,1
0,4,0.1275857765067678,1
3,12,0.15522340095236928,2
8,10,0.08329009489871173,2
7,13,0.2964106605956365,2
8,13,0.1806257394090599,2
1,5,0.1412272914733087,2
4,12,0.21210652806773772,2
0,13,0.22335616669219613,2
11,13,0.2224311899700031,2
6,12,0.37402637957633417,2
9,13,0.1876988588180962,2
6,10,0.1284316321748657,2
5,12,0.12248163511596338,2
1,3,0.13585177427873696,2
1,12,0.11676858875644983,2
2,12,0.12377265562942408,2
7,12,0.45041833615086097,3
5,13,0.22870334565129471,3
4,13,0.19030320938250517,3
3,13,0.1481384870188149,3
8,12,0.3293162961438204,3
1,13,0.19305426019849573,3
11,12,0.3718501822269555,3
10,13,0.15997803730757423,3
9,12,0.34079708653305707,3
2,13,0.2326713360431826,3
0,6,0.2345592231509153,3
5,6,0.4331814334384381,4
4,6,0.28931849363452383,4
0,11,0.21418016296222417,4
0,9,0.21852681317887032,4
2,6,0.4213889047941106,4
10,12,0.30517923493190036,4
0,8,0.2066635757744758,4
0,7,0.26002225051265304,4
3,6,0.2905159367249583,4
1,6,0.37149098998975316,4
0,10,0.19306084272078297,5
1,11,0.35881976424339407,5
3,9,0.2556491811067268,5
1,9,0.3336178743021976,5
1,8,0.31924450702296087,5
1,7,0.4271664276608087,5
2,7,0.4894135122376885,5
2,8,0.37206003947958244,5
2,9,0.38490273155076465,5
2,11,0.40852787678431446,5
3,7,0.35726038748012634,5
3,8,0.2536973641968643,5
5,11,0.42068935583351763,5
5,7,0.5006139994553988,5
3,11,0.27786304936205536,5
4,7,0.33599205365359464,5
4,8,0.2495758929025847,5
4,9,0.2686329137524477,5
4,11,0.2759752522893131,5
5,8,0.3808169090427583,5
5,9,0.38792935354914815,5
2,10,0.3506722288346199,6
4,10,0.2326440071522798,6
1,10,0.2947481421257595,6
3,10,0.22875419336869,6
5,10,0.35818589979922444,6
