Node 1,Node 2,L2 Distance,Shortest Path
0,1,0.4736977436182275,1
2,5,0.2348606906177362,1
3,4,0.21318308145310216,1
3,5,0.1296339635333272,1
4,5,0.23190280829381948,1
6,7,0.18032609278817638,1
6,8,0.2842260163643716,1
6,9,0.10170634693842863,1
6,11,0.209032704180566,1
2,4,0.11300519910092632,1
6,13,0.15575946641308838,1
7,9,0.1364642066089492,1
7,10,0.2938543989111784,1
7,11,0.2560054497808396,1
8,9,0.26259869738047076,1
8,11,0.1621894234025142,1
9,10,0.24477139195849676,1
9,11,0.21871344261796083,1
10,11,0.14615356226647366,1
7,8,0.3382304729130863,1
2,3,0.20994348162627008,1
12,13,0.18313388047570556,1
1,4,0.1836202083323075,1
1,2,0.18113609033828684,1
0,5,0.5157060897348023,1
0,12,0.4854137777453375,1
0,2,0.34887615883697176,1
0,3,0.4624617358191269,1
0,4,0.3220847146124758,1
3,12,0.12527221033349734,2
8,10,0.15296924848393545,2
7,13,0.26622118145696066,2
8,13,0.17968703242696726,2
1,5,0.15445906630871495,2
4,12,0.23686801021666049,2
0,13,0.5529256011357133,2
11,13,0.17357508133199878,2
6,12,0.2554710985258411,2
9,13,0.17206400824358944,2
6,10,0.2580219397599747,2
5,12,0.14929417613075202,2
1,3,0.13750689353134266,2
1,12,0.1481542508941272,2
2,12,0.2674185002161219,2
7,12,0.37023969617161523,3
5,13,0.20778144825765849,3
4,13,0.3045617225044704,3
3,13,0.17361159650648345,3
8,12,0.2677497019321591,3
1,13,0.17462401950845713,3
11,12,0.32909060829236686,3
10,13,0.2108486462091943,3
9,12,0.24660382014064589,3
2,13,0.3119914124208069,3
0,6,0.5085927412448983,3
5,6,0.31155315461436117,4
4,6,0.33434182442823396,4
0,11,0.6696993604327541,4
0,9,0.4965564013372095,4
2,6,0.35875937947131087,4
10,12,0.34140868588848183,4
0,8,0.6857435906411083,4
0,7,0.5194840100919853,4
3,6,0.24709039481744327,4
1,6,0.27011617953762046,4
0,10,0.7240898975118352,5
1,11,0.32329568248747154,5
3,9,0.23480846393594929,5
1,9,0.2711294980823002,5
1,8,0.2785690325150303,5
1,7,0.35537771776273475,5
2,7,0.38597915384213427,5
2,8,0.4232241611063811,5
2,9,0.3370778878740639,5
2,11,0.4493292221688681,5
3,7,0.3401140184636469,5
3,8,0.29742772580073973,5
5,11,0.3572412644989378,5
5,7,0.3789360922319356,5
3,11,0.33154071878923114,5
4,7,0.3799021203392395,5
4,8,0.42095539221770284,5
4,9,0.3185383862393354,5
4,11,0.4493498657899433,5
5,8,0.27411404999984956,5
5,9,0.27973391331585096,5
2,10,0.4793325417030019,6
4,10,0.477325263227812,6
1,10,0.3507805457517563,6
3,10,0.33747443631839735,6
5,10,0.3379420534927549,6
