Node 1,Node 2,L2 Distance,Shortest Path
0,1,0.0800539327314909,1
2,5,0.07791361323568319,1
3,4,0.0867454991641919,1
3,5,0.06679771260998078,1
4,5,0.08609294524873097,1
6,7,0.07162823770546244,1
6,8,0.08178593187798895,1
6,9,0.07525227697663434,1
6,11,0.08229491960387467,1
2,4,0.08027773668812294,1
6,13,0.08771372475529819,1
7,9,0.06701476006050071,1
7,10,0.07623582778432737,1
7,11,0.06796172151852779,1
8,9,0.07964173302170352,1
8,11,0.07986700197250632,1
9,10,0.08312517920313856,1
9,11,0.08644979125861316,1
10,11,0.09352448332956909,1
7,8,0.07332911548050462,1
2,3,0.07891439128442714,1
12,13,0.0819012322976645,1
1,4,0.09856697644515605,1
1,2,0.1010618586188227,1
0,5,0.09152076570861281,1
0,12,0.08263689373770672,1
0,2,0.08380590909665493,1
0,3,0.07428185316291237,1
0,4,0.0920520987278358,1
3,12,0.09657635232599862,2
8,10,0.09198850033219261,2
7,13,0.06533308842727169,2
8,13,0.07744434611944774,2
1,5,0.08657522381468682,2
4,12,0.09681210108511933,2
0,13,0.09146175314775606,2
11,13,0.08055364116399494,2
6,12,0.08315778791570198,2
9,13,0.0792321548603467,2
6,10,0.0905340146465426,2
5,12,0.09145236674444894,2
1,3,0.0753236830235507,2
1,12,0.08053168885518937,2
2,12,0.08807650994882733,2
7,12,0.06472481058714041,3
5,13,0.09896362448491804,3
4,13,0.09739631280373051,3
3,13,0.07927089230837066,3
8,12,0.10428704713245496,3
1,13,0.10432112462079936,3
11,12,0.06892672419682236,3
10,13,0.05750107113023044,3
9,12,0.07256447588373378,3
2,13,0.08225979452523947,3
0,6,0.08183398652658795,3
5,6,0.07876566011262762,4
4,6,0.0570807018092594,4
0,11,0.09865906326067157,4
0,9,0.0680259408262634,4
2,6,0.06899575265239018,4
10,12,0.08536445093173904,4
0,8,0.10627772080080805,4
0,7,0.07487524683456964,4
3,6,0.08676765824183529,4
1,6,0.09549559416415775,4
0,10,0.09231087857206727,5
1,11,0.08689563005795226,5
3,9,0.0784148612630232,5
1,9,0.08639180068947185,5
1,8,0.10604282420235576,5
1,7,0.08437485451646047,5
2,7,0.07458626292814903,5
2,8,0.08662484991458269,5
2,9,0.07715857385316967,5
2,11,0.08999909409204775,5
3,7,0.07671396096135813,5
3,8,0.0910234978513133,5
5,11,0.09156172555787796,5
5,7,0.0745399958836231,5
3,11,0.09190895296857408,5
4,7,0.08652901127650114,5
4,8,0.08495343702892662,5
4,9,0.08535763381005884,5
4,11,0.09385300448771625,5
5,8,0.09418101043618436,5
5,9,0.07559269052552375,5
2,10,0.07598845610797826,6
4,10,0.10128541813138849,6
1,10,0.10106093415068025,6
3,10,0.08874815320760696,6
5,10,0.09868447600750377,6
