Node 1,Node 2,L2 Distance,Shortest Path
0,1,0.41924129160868984,1
2,5,0.1468019993023668,1
3,4,0.13552074261311442,1
3,5,0.12422328326428987,1
4,5,0.15130585581942954,1
6,7,0.12857227891345788,1
6,8,0.1930819608611845,1
6,9,0.1268825054371169,1
6,11,0.18114887397386709,1
2,4,0.16260605452978097,1
6,13,0.18452055393641106,1
7,9,0.17288940277819229,1
7,10,0.2937597890198725,1
7,11,0.24238547675345562,1
8,9,0.14471943608928278,1
8,11,0.15085228698299538,1
9,10,0.20466190963635617,1
9,11,0.15856135908852445,1
10,11,0.14480189747375552,1
7,8,0.2455850360404721,1
2,3,0.15547944688707926,1
12,13,0.2976236611257411,1
1,4,0.3261054480609953,1
1,2,0.27232464461790745,1
0,5,0.248536085834653,1
0,12,0.1617189810362717,1
0,2,0.19372031710472218,1
0,3,0.17617781402881014,1
0,4,0.1551941383511633,1
3,12,0.13130871734618385,2
8,10,0.15161905873603093,2
7,13,0.21345085407652972,2
8,13,0.14534223495254225,2
1,5,0.22540187925860888,2
4,12,0.1667995783258759,2
0,13,0.2884087077901082,2
11,13,0.12637588440442266,2
6,12,0.4375137287984115,2
9,13,0.1529968125713735,2
6,10,0.22447079949071325,2
5,12,0.20458611373047783,2
1,3,0.3138546716981802,2
1,12,0.37066737490801976,2
2,12,0.2188262983757805,2
7,12,0.49186444029761894,3
5,13,0.45463305795140985,3
4,13,0.34470226688114486,3
3,13,0.36385142144206334,3
8,12,0.3160209051501024,3
1,13,0.6418911855346375,3
11,12,0.3226373305975147,3
10,13,0.1287595645806555,3
9,12,0.39490170770394245,3
2,13,0.43630438318584663,3
0,6,0.40552729794892967,3
5,6,0.5982345992294745,4
4,6,0.4913596611363208,4
0,11,0.2997424121871311,4
0,9,0.38923045584198573,4
2,6,0.5760743927529864,4
10,12,0.24874553890047954,4
0,8,0.33478329902514553,4
0,7,0.47030666723145653,4
3,6,0.49740326065799967,4
1,6,0.7877850194498258,4
0,10,0.2312744068204694,5
1,11,0.6554483899564958,5
3,9,0.45903741823538746,5
1,9,0.7481198791480965,5
1,8,0.6559625947708928,5
1,7,0.8426913664554553,5
2,7,0.6256202479481958,5
2,8,0.4754902911224183,5
2,9,0.5437970245135607,5
2,11,0.4576316602949605,5
3,7,0.5523457585802665,5
3,8,0.3751294110522527,5
5,11,0.4664408153745232,5
5,7,0.6501538881151523,5
3,11,0.3797580726478504,5
4,7,0.5465164717087674,5
4,8,0.3903466719340643,5
4,9,0.46201591639249834,5
4,11,0.3670507888589807,5
5,8,0.47511917926479247,5
5,9,0.5587352128640632,5
2,10,0.3987370101387406,6
4,10,0.2984406719668082,6
1,10,0.5886857206813008,6
3,10,0.31003282990001235,6
5,10,0.40433459611842515,6
