Node 1,Node 2,L2 Distance,Shortest Path
0,1,0.321917882166375,1
2,5,0.43751612463398887,1
3,4,0.08787729906769956,1
3,5,0.17951737042305246,1
4,5,0.16020196239236267,1
6,7,0.09074384192996235,1
6,8,0.3050361322086287,1
6,9,0.20542483377449766,1
6,11,0.20072041899284307,1
2,4,0.2995236844775333,1
6,13,0.15653578029488976,1
7,9,0.1608857048366635,1
7,10,0.20515458973717116,1
7,11,0.17210756892142337,1
8,9,0.14045620243257326,1
8,11,0.13609115787420764,1
9,10,0.125528303953232,1
9,11,0.09184941466722854,1
10,11,0.08236682189170892,1
7,8,0.26608776898521663,1
2,3,0.282372168261418,1
12,13,0.12742277156784654,1
1,4,0.15526789806516345,1
1,2,0.4300321422638476,1
0,5,0.33204476137489974,1
0,12,0.1934384330228758,1
0,2,0.13805716479361002,1
0,3,0.1871938698624625,1
0,4,0.20076681636452506,1
3,12,0.09665383978934375,2
8,10,0.16048103805689629,2
7,13,0.20802408515385903,2
8,13,0.38199087534362647,2
1,5,0.07924247857567558,2
4,12,0.12081962723991706,2
0,13,0.24944777015718145,2
11,13,0.2692192940849383,2
6,12,0.23774485594451378,2
9,13,0.3005329888293962,2
6,10,0.22846485956261853,2
5,12,0.21653057569621825,2
1,3,0.17360318084402493,2
1,12,0.21141293736363842,2
2,12,0.28171302469343446,2
7,12,0.2846512185142716,3
5,13,0.23636135463319313,3
4,13,0.17442670096964769,3
3,13,0.1447393826579854,3
8,12,0.43933318701853336,3
1,13,0.24982941303621573,3
11,12,0.323547151483097,3
10,13,0.26986631898860036,3
9,12,0.36058198003303166,3
2,13,0.31834027491135963,3
0,6,0.3725234551974144,3
5,6,0.30734387585988127,4
4,6,0.2791988940458377,4
0,11,0.48285996527230596,4
0,9,0.5204588143530476,4
2,6,0.4252795450805858,4
10,12,0.3056629713780173,4
0,8,0.596015638937889,4
0,7,0.42986725705553575,4
3,6,0.25731052043468866,4
1,6,0.32644690339858345,4
0,10,0.46849657693421526,5
1,11,0.28287975787679576,5
3,9,0.3610470551662519,5
1,9,0.34196506095167106,5
1,8,0.37480503255371334,5
1,7,0.34599600591315227,5
2,7,0.48220599213441967,5
2,8,0.672434489435075,5
2,9,0.5908776202445901,5
2,11,0.5587168673146198,5
3,7,0.29762797770620714,5
3,8,0.430893708154547,5
5,11,0.2589954404873542,5
5,7,0.32768503930995097,5
3,11,0.31692133962598684,5
4,7,0.32363787005011774,5
4,8,0.43452467583306803,5
4,9,0.3739070237723904,5
4,11,0.32180450724379756,5
5,8,0.34677116107843814,5
5,9,0.3156298266807466,5
2,10,0.550587531004685,6
4,10,0.3027459369119815,6
1,10,0.24312003582251937,6
3,10,0.30129518918367226,6
5,10,0.22645342782211778,6
