Node 1,Node 2,L2 Distance,Shortest Path
0,1,0.10609506190292774,1
2,5,0.13159614666351593,1
3,4,0.11861135629388318,1
3,5,0.09748959961961892,1
4,5,0.09932482207646433,1
6,7,0.11308404956079042,1
6,8,0.14479821003063126,1
6,9,0.16341060986732348,1
6,11,0.08029983429993116,1
2,4,0.15922463272782417,1
6,13,0.13352566006020267,1
7,9,0.20663393822877527,1
7,10,0.11966632713278036,1
7,11,0.09898226270985576,1
8,9,0.27364290439992006,1
8,11,0.15333428778856473,1
9,10,0.2872866104825467,1
9,11,0.15324530608058243,1
10,11,0.16409649592397793,1
7,8,0.10512696752715783,1
2,3,0.09479291275701997,1
12,13,0.3246026481728522,1
1,4,0.12688868595559935,1
1,2,0.23442769124628163,1
0,5,0.14703282029817424,1
0,12,0.13848636390277888,1
0,2,0.21650532472562792,1
0,3,0.1864703218353677,1
0,4,0.10720642338858104,1
3,12,0.25729498672244294,2
8,10,0.09818569484603598,2
7,13,0.147187693616085,2
8,13,0.13182310861336718,2
1,5,0.1508211287783811,2
4,12,0.1935391223988266,2
0,13,0.276785418168866,2
11,13,0.16124603105095148,2
6,12,0.41265832887665177,2
9,13,0.25202065815957586,2
6,10,0.16698986666311375,2
5,12,0.21404707461152017,2
1,3,0.18953516118226857,2
1,12,0.13666199380283126,2
2,12,0.3048101501450338,2
7,12,0.37697371850030736,3
5,13,0.1690993791002924,3
4,13,0.20033948161488913,3
3,13,0.15836163881544169,3
8,12,0.3133884565237598,3
1,13,0.27569276926153224,3
11,12,0.43477645561792105,3
10,13,0.16836920395735708,3
9,12,0.5468158146956945,3
2,13,0.1692739113602814,3
0,6,0.3689472014858869,3
5,6,0.24776355936377328,4
4,6,0.29824479366955614,4
0,11,0.39538358526021994,4
0,9,0.49640968190992346,4
2,6,0.22607413920522712,4
10,12,0.3088318415168102,4
0,8,0.28580522594305374,4
0,7,0.35373388450304066,4
3,6,0.23321741572883534,4
1,6,0.36719043422284264,4
0,10,0.30202404764370616,5
1,11,0.3950607655031914,5
3,9,0.35031180085003044,5
1,9,0.5031108249694667,5
1,8,0.28008781853794895,5
1,7,0.34726749665528645,5
2,7,0.24976509422474732,5
2,8,0.21947333388669885,5
2,9,0.32933709917777776,5
2,11,0.2621877074485759,5
3,7,0.2338009323772917,5
3,8,0.1919204766474344,5
5,11,0.27925395811160425,5
5,7,0.2421104476431798,5
3,11,0.2658668491547226,5
4,7,0.28620964939611837,5
4,8,0.22570980257272677,5
4,9,0.42483311818518066,5
4,11,0.32270791441718705,5
5,8,0.1840572137022225,5
5,9,0.3785715532974988,5
2,10,0.24931139860265134,6
4,10,0.25094704590462785,6
1,10,0.29009720732906163,6
3,10,0.2146601806741346,6
5,10,0.20788266432263872,6
