Node 1,Node 2,L2 Distance,Shortest Path
0,1,0.3859202704018538,1
2,5,0.2882902705386534,1
3,4,0.2022283811684206,1
3,5,0.20244701199079224,1
4,5,0.2943570605200425,1
6,7,0.17329830953376318,1
6,8,0.14153128743765456,1
6,9,0.16628097752124266,1
6,11,0.20556960490668363,1
2,4,0.31147001108814637,1
6,13,0.19651714153643188,1
7,9,0.13862383366059391,1
7,10,0.3017227879816173,1
7,11,0.1452982754952377,1
8,9,0.23781477711752902,1
8,11,0.2520236184465456,1
9,10,0.3412406936029758,1
9,11,0.18617968287020475,1
10,11,0.3043931460102379,1
7,8,0.18158428672244742,1
2,3,0.2593329481848575,1
12,13,0.17802811383399533,1
1,4,0.3374840860467942,1
1,2,0.3946669646416963,1
0,5,0.2938330439943744,1
0,12,0.5147157956618487,1
0,2,0.19386873076968858,1
0,3,0.25991074558971194,1
0,4,0.21140684893588474,1
3,12,0.2712501652788621,2
8,10,0.20660552521193618,2
7,13,0.12692302342542108,2
8,13,0.2029964872963323,2
1,5,0.2836623251636353,2
4,12,0.4299395132020433,2
0,13,0.5211928371495141,2
11,13,0.19019875933391364,2
6,12,0.33933824846589283,2
9,13,0.12493269951173717,2
6,10,0.2783162746515194,2
5,12,0.3553125678711773,2
1,3,0.19555182438944413,2
1,12,0.16754762084401556,2
2,12,0.4992174548029746,2
7,12,0.2770057427957045,3
5,13,0.3273505809626126,3
4,13,0.47906266821300114,3
3,13,0.2881033664311474,3
8,12,0.2926482754230751,3
1,13,0.24977181220377928,3
11,12,0.3358805587714329,3
10,13,0.26261977159241073,3
9,12,0.2858279364157395,3
2,13,0.4441786432684602,3
0,6,0.6749107154842705,3
5,6,0.47015511381403696,4
4,6,0.6299585076260896,4
0,11,0.5893984690419546,4
0,9,0.5481314473996634,4
2,6,0.5599660874904301,4
10,12,0.25314721554115505,4
0,8,0.6502164515397084,4
0,7,0.5146015786896597,4
3,6,0.45394743913242863,4
1,6,0.4231733165755256,4
0,10,0.708920107888618,5
1,11,0.3570324048296457,5
3,9,0.33057185511481463,5
1,9,0.3468409103682119,5
1,8,0.37150313401495016,5
1,7,0.2950918455388593,5
2,7,0.4060929811053622,5
2,8,0.563854802307775,5
2,9,0.4339006072618475,5
2,11,0.4762279586503191,5
3,7,0.31591314747805294,5
3,8,0.42572184735515983,5
5,11,0.42349522092698993,5
5,7,0.3250805075591123,5
3,11,0.4063105472025062,5
4,7,0.4935628453752268,5
4,8,0.5801705584531932,5
4,9,0.518364400617799,5
4,11,0.5945377151098153,5
5,8,0.43038384109175154,5
5,9,0.3774770803413765,5
2,10,0.6570332845595875,6
4,10,0.6324630161394499,6
1,10,0.35123437899814136,6
3,10,0.4771983213495307,6
5,10,0.520688165455496,6
